t 211Pb 211Bi 207Tl 207Pb
64.6 28 3 10 59
64.7 28 3 10 59
64.8 28 3 10 59
64.9 28 2 11 59
65.0 28 2 11 59
65.1 28 2 10 60
65.2 28 2 10 60
65.3 28 2 10 60
65.4 28 2 10 60
65.5 27 3 10 60
65.6 27 3 10 60
65.7 27 3 10 60
65.8 27 3 9 61
65.9 27 3 9 61
66.0 27 3 9 61
66.1 27 3 9 61
66.2 27 3 9 61
66.3 27 3 9 61
66.4 27 3 9 61
66.5 27 3 9 61
66.6 27 3 9 61
66.7 27 3 8 62
66.8 27 3 8 62
66.9 27 3 8 62
67.0 27 3 7 63
67.1 27 3 7 63
67.2 27 3 6 64
67.3 26 4 6 64
67.4 26 4 5 65
67.5 26 4 5 65
67.6 26 3 6 65
67.7 26 3 6 65
67.8 26 3 6 65
67.9 26 3 6 65
68.0 26 3 6 65
68.1 26 3 6 65
68.2 26 3 6 65
68.3 26 3 6 65
68.4 26 3 6 65
68.5 26 3 6 65
68.6 25 4 6 65
68.7 25 4 6 65
68.8 25 4 6 65
68.9 25 3 7 65
69.0 24 4 7 65
69.1 24 4 7 65
69.2 23 5 6 66
69.3 23 5 6 66
69.4 23 5 6 66
69.5 23 5 5 67
69.6 23 5 5 67
69.7 23 5 5 67
69.8 22 5 6 67
69.9 22 5 6 67
70.0 22 5 6 67
70.1 22 5 6 67
70.2 22 4 7 67
70.3 22 4 7 67
70.4 22 4 7 67
70.5 22 4 6 68
70.6 22 4 6 68
70.7 22 4 6 68
70.8 22 4 6 68
70.9 22 4 6 68
71.0 22 4 6 68
71.1 22 4 5 69
71.2 22 4 5 69
71.3 22 3 6 69
71.4 22 3 6 69
71.5 22 3 6 69
71.6 22 3 6 69
71.7 21 4 6 69
71.8 21 3 7 69
71.9 21 3 7 69
72.0 21 3 7 69
72.1 21 3 7 69
72.2 21 3 7 69
72.3 20 4 7 69
72.4 20 4 7 69
72.5 19 5 6 70
72.6 19 5 6 70
72.7 19 5 6 70
72.8 19 5 6 70
72.9 19 5 5 71
73.0 19 5 5 71
73.1 19 5 5 71
73.2 19 5 5 71
73.3 19 5 5 71
73.4 19 5 4 72
73.5 19 5 4 72
73.6 19 4 5 72
73.7 19 3 6 72
73.8 19 3 6 72
73.9 19 3 6 72
74.0 19 3 6 72
74.1 19 3 6 72
74.2 19 3 6 72
74.3 19 3 6 72
74.4 19 2 7 72
74.5 19 2 7 72
74.6 19 2 7 72
74.7 19 2 7 72
74.8 19 2 7 72
74.9 19 2 7 72
75.0 19 2 7 72
75.1 19 2 7 72
75.2 19 2 7 72
75.3 19 2 7 72
75.4 19 2 7 72
75.5 18 3 5 74
75.6 18 3 4 75
