t 211Pb 211Bi 207Tl 207Pb
26.3 53 4 13 30
26.3 53 4 13 30
26.4 53 4 13 30
26.4 53 4 13 30
26.4 53 4 13 30
26.4 53 4 13 30
26.5 53 4 13 30
26.5 53 3 12 32
26.5 53 3 12 32
26.5 53 3 12 32
26.6 53 3 12 32
26.6 53 3 12 32
26.6 53 3 12 32
26.6 53 3 12 32
26.7 53 3 12 32
26.7 53 3 12 32
26.7 53 3 12 32
26.7 53 3 12 32
26.8 53 3 12 32
26.8 53 3 12 32
26.8 53 3 12 32
26.8 53 3 12 32
26.9 53 3 12 32
26.9 53 3 12 32
26.9 53 3 12 32
26.9 53 3 12 32
27.0 53 3 12 32
27.0 53 3 12 32
27.0 53 3 12 32
27.0 53 3 12 32
27.1 53 3 12 32
27.1 53 3 12 32
27.1 53 3 12 32
27.1 53 3 12 32
27.2 53 3 12 32
27.2 53 3 12 32
27.2 53 3 12 32
27.2 53 3 12 32
27.3 53 2 13 32
27.3 53 2 13 32
27.3 53 2 13 32
27.3 53 2 13 32
27.4 53 2 13 32
27.4 53 2 13 32
27.4 53 1 14 32
27.4 53 1 13 33
27.5 53 1 13 33
27.5 53 1 13 33
27.5 53 1 13 33
27.5 53 1 13 33
27.6 53 1 13 33
27.6 53 1 13 33
27.6 53 1 13 33
27.6 53 1 13 33
27.7 53 1 13 33
27.7 53 1 12 34
27.7 53 1 12 34
27.7 53 1 12 34
27.8 53 1 12 34
27.8 53 1 12 34
27.8 53 1 12 34
27.8 53 1 12 34
27.9 53 1 12 34
27.9 53 1 12 34
27.9 53 1 12 34
27.9 53 1 12 34
28.0 53 1 12 34
28.0 53 1 12 34
28.0 53 1 12 34
28.0 53 1 12 34
28.1 53 1 12 34
28.1 53 1 12 34
28.1 53 1 12 34
28.1 53 1 12 34
28.2 53 1 12 34
28.2 53 1 12 34
28.2 53 1 12 34
28.2 53 1 12 34
28.3 53 1 12 34
28.3 53 1 12 34
28.3 53 1 12 34
28.3 53 1 12 34
28.4 52 2 12 34
28.4 52 2 12 34
28.4 52 2 12 34
28.4 52 2 12 34
28.5 52 2 12 34
28.5 52 2 12 34
28.5 52 2 12 34
28.5 52 2 12 34
28.6 52 2 12 34
28.6 52 2 12 34
28.6 52 2 12 34
28.6 52 2 12 34
28.7 52 2 12 34
28.7 52 2 12 34
28.7 52 2 12 34
28.7 52 2 12 34
